#LVM II					at equilibrium	
#t	X0=2	Y0=1.3	X0=0.5	Y0=0.5	x	y
54	1.647178	2.478654	0.840882	0.650357	1	1.9
54.5	1.592112	2.556693	0.895791	0.64608	1	1.9
55	1.533516	2.629695	0.954176	0.643652	1	1.9
55.5	1.472352	2.696685	1.016136	0.643165	1	1.9
56	1.409575	2.756816	1.081745	0.64473	1	1.9
56.5	1.346099	2.809395	1.151049	0.648484	1	1.9
57	1.28277	2.853906	1.224057	0.654583	1	1.9
57.5	1.220342	2.890014	1.300731	0.663218	1	1.9
58	1.159463	2.917564	1.380975	0.674608	1	1.9
58.5	1.10067	2.936571	1.464626	0.689011	1	1.9
59	1.044386	2.947207	1.551438	0.706729	1	1.9
59.5	0.990926	2.949773	1.641068	0.728108	1	1.9
60	0.940508	2.944683	1.733061	0.753548	1	1.9
60.5	0.893263	2.932432	1.826832	0.783511	1	1.9
61	0.849246	2.913576	1.921649	0.818517	1	1.9
61.5	0.808455	2.888711	2.016616	0.859157	1	1.9
62	0.770838	2.858451	2.110656	0.906092	1	1.9
62.5	0.736307	2.823411	2.202498	0.960046	1	1.9
63	0.704747	2.784198	2.290672	1.021808	1	1.9
63.5	0.676028	2.741397	2.373509	1.092211	1	1.9
64	0.650008	2.695565	2.449154	1.172109	1	1.9
64.5	0.626542	2.647223	2.515597	1.262339	1	1.9
65	0.605483	2.596857	2.570722	1.363665	1	1.9
65.5	0.58669	2.544915	2.612385	1.476706	1	1.9
66	0.570027	2.491803	2.638515	1.601844	1	1.9
66.5	0.555366	2.437891	2.647248	1.739113	1	1.9
67	0.542586	2.383511	2.637071	1.888087	1	1.9
67.5	0.531578	2.328959	2.606988	2.047767	1	1.9
68	0.522241	2.2745	2.556668	2.216491	1	1.9
68.5	0.514486	2.220366	2.486562	2.391896	1	1.9
69	0.508232	2.166762	2.397962	2.570942	1	1.9
69.5	0.503406	2.113867	2.292983	2.750022	1	1.9
70	0.499946	2.061837	2.17445	2.925146	1	1.9
70.5	0.497798	2.010805	2.045712	3.092203	1	1.9
71	0.496916	1.960889	1.910394	3.247242	1	1.9
71.5	0.497261	1.912186	1.772129	3.386762	1	1.9
72	0.4988	1.864782	1.634305	3.507932	1	1.9
72.5	0.50151	1.818745	1.499871	3.608751	1	1.9
73	0.50537	1.774137	1.371209	3.688097	1	1.9
73.5	0.510367	1.731006	1.25008	3.7457	1	1.9
74	0.516492	1.689393	1.137647	3.782041	1	1.9
74.5	0.523741	1.649333	1.034531	3.798206	1	1.9
75	0.532115	1.610851	0.940909	3.795725	1	1.9
75.5	0.541619	1.57397	0.856614	3.776416	1	1.9
76	0.552259	1.538708	0.781232	3.742244	1	1.9
76.5	0.564048	1.50508	0.714192	3.695211	1	1.9
77	0.576999	1.473098	0.654832	3.637267	1	1.9
77.5	0.591127	1.442771	0.602457	3.570256	1	1.9
78	0.60645	1.41411	0.556374	3.495873	1	1.9
78.5	0.622987	1.387122	0.51592	3.415652	1	1.9
79	0.640757	1.361816	0.480478	3.330954	1	1.9
79.5	0.659779	1.338203	0.449484	3.242972	1	1.9
80	0.680074	1.316292	0.422429	3.152742	1	1.9
80.5	0.701657	1.296095	0.398863	3.061152	1	1.9
81	0.724545	1.277629	0.378389	2.968956	1	1.9
81.5	0.74875	1.260909	0.360659	2.876792	1	1.9
82	0.77428	1.245956	0.345372	2.785192	1	1.9
82.5	0.801139	1.232794	0.332267	2.694599	1	1.9
83	0.829324	1.22145	0.32112	2.605374	1	1.9
83.5	0.858824	1.211958	0.311737	2.517813	1	1.9
84	0.889619	1.204354	0.303955	2.432153	1	1.9
84.5	0.92168	1.198679	0.297635	2.348579	1	1.9
85	0.954964	1.194982	0.292659	2.267239	1	1.9
85.5	0.989415	1.193316	0.288928	2.188239	1	1.9
86	1.024962	1.19374	0.286361	2.111661	1	1.9
86.5	1.061515	1.196319	0.28489	2.037557	1	1.9
