#LVM I						
#t	X0=2	Y0=1.3	X0=1.5	Y0=1.5	X0=1.0	Y0=1.5
47.5	2.059058	1.359397	1.636017	1.693793	1.139025	1.527558
48	2.122106	1.435618	1.65897	1.749558	1.165921	1.539248
48.5	2.17829	1.520649	1.677404	1.809033	1.192691	1.553111
49	2.225964	1.614916	1.690856	1.872024	1.219162	1.569188
49.5	2.263449	1.718693	1.698916	1.938255	1.245149	1.587512
50	2.289105	1.83204	1.701247	2.007352	1.270454	1.608113
50.5	2.301428	1.95473	1.6976	2.078846	1.294864	1.631009
51	2.299156	2.086169	1.687835	2.152165	1.318158	1.656206
51.5	2.281387	2.225338	1.671932	2.22664	1.340104	1.683697
52	2.247692	2.37074	1.650001	2.301513	1.360466	1.713458
52.5	2.198199	2.520392	1.622285	2.37595	1.379008	1.745443
53	2.133651	2.671849	1.589156	2.449062	1.395492	1.779585
53.5	2.0554	2.822296	1.551104	2.519929	1.409692	1.815788
54	1.965354	2.96867	1.508722	2.587632	1.421391	1.85393
54.5	1.865862	3.107841	1.462681	2.651278	1.430392	1.893854
55	1.759551	3.236804	1.413708	2.710037	1.436521	1.935371
55.5	1.649147	3.352866	1.362555	2.763164	1.439634	1.978256
56	1.537295	3.453808	1.30997	2.810027	1.439622	2.022249
56.5	1.426405	3.537999	1.256678	2.850122	1.436415	2.067054
57	1.318534	3.604447	1.203352	2.883086	1.429989	2.112343
57.5	1.215328	3.652795	1.150602	2.908701	1.420365	2.157758
58	1.117998	3.683264	1.098961	2.926889	1.407613	2.202917
58.5	1.027342	3.696565	1.048877	2.937705	1.391849	2.247416
59	0.943793	3.693787	1.000715	2.941324	1.373238	2.290842
59.5	0.867484	3.67629	0.954758	2.938023	1.351985	2.33278
60	0.798311	3.645595	0.911213	2.928165	1.328334	2.372818
60.5	0.736	3.603298	0.870218	2.912177	1.302558	2.410559
61	0.680165	3.550994	0.831851	2.890535	1.274959	2.445632
61.5	0.630348	3.490226	0.796141	2.863745	1.245849	2.477697
62	0.586064	3.422443	0.763075	2.83233	1.215553	2.506453
62.5	0.546822	3.348983	0.732608	2.796814	1.184394	2.531648
63	0.512144	3.271056	0.704673	2.757716	1.152689	2.553076
63.5	0.48158	3.189741	0.679183	2.715536	1.12074	2.570589
64	0.454715	3.10599	0.656042	2.670752	1.088832	2.584091
64.5	0.431169	3.020633	0.635144	2.623819	1.057225	2.593539
65	0.410601	2.934388	0.616385	2.575156	1.026155	2.598944
65.5	0.392708	2.84787	0.599657	2.525157	0.995828	2.600364
66	0.377221	2.761599	0.58486	2.474178	0.966424	2.5979
66.5	0.363906	2.676017	0.571893	2.422547	0.938091	2.591694
67	0.352557	2.591491	0.560665	2.37056	0.910954	2.581918
67.5	0.342998	2.508325	0.551089	2.318484	0.88511	2.568773
68	0.335075	2.426768	0.543088	2.266556	0.860633	2.552482
68.5	0.328658	2.347023	0.536591	2.214989	0.837576	2.533282
69	0.323636	2.26925	0.531532	2.16397	0.815975	2.51142
69.5	0.319915	2.193575	0.527857	2.113666	0.79585	2.48715
70	0.317419	2.120096	0.525517	2.06422	0.777206	2.460729
70.5	0.316084	2.048882	0.52447	2.015761	0.760038	2.432411
71	0.315859	1.979983	0.52468	1.968399	0.744335	2.402443
71.5	0.316705	1.913431	0.526119	1.922229	0.730076	2.371068
72	0.318593	1.849242	0.528765	1.877334	0.717235	2.338518
72.5	0.321503	1.787422	0.532601	1.833784	0.705786	2.305015
